pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1428 b,Kepler-1428,2016,10.67607169,,1.6365139999999998,,,6184.0,1.36,1.28,802.0,1,1
Kepler-1429 b,Kepler-1429,2016,4.48487493,,1.289035,,,5902.0,1.07,1.05,1156.0,1,1
Kepler-142 b,Kepler-142,2014,2.024152,0.032,1.995202,,,5790.0,1.27,0.99,557.51,3,1
Kepler-142 c,Kepler-142,2014,4.761702,0.057,2.858295,,,5790.0,1.27,0.99,557.51,3,1
Kepler-142 d,Kepler-142,2014,41.809118,0.242,2.163337,,,5790.0,1.27,0.99,557.51,3,1
Kepler-1430 b,Kepler-1430,2016,2.46050993,,1.176945,,,4796.0,0.72,0.77,541.0,1,1
Kepler-1431 b,Kepler-1431,2016,5.86601526,,1.468379,,,5806.0,1.03,1.03,1270.0,1,1
Kepler-1432 b,Kepler-1432,2016,23.9109011,,2.219382,,,6031.0,1.13,1.09,1552.0,1,1
Kepler-1433 Ab,Kepler-1433 A,2016,4.13592271,,1.558051,,,6097.0,1.19,1.14,1328.0,1,1
Kepler-1434 b,Kepler-1434,2016,8.05333618,,1.109691,,,6291.0,2.04,1.47,680.0,1,1
Kepler-1435 b,Kepler-1435,2016,4.45343281,,0.863093,,,6356.0,1.32,1.21,681.0,1,1
Kepler-1436 b,Kepler-1436,2016,9.705716,,1.311453,,,5972.0,1.09,1.06,1142.0,1,1
Kepler-1437 b,Kepler-1437,2016,10.9295461,,1.3674979999999999,,,5557.0,0.9,0.93,1182.0,1,1
Kepler-1438 Ab,Kepler-1438 A,2016,2.31942009,,0.9415560000000001,,,5530.0,0.96,0.97,866.0,1,1
Kepler-1439 b,Kepler-1439,2016,8.07392849,,1.45717,,,3578.0,0.43,0.46,215.0,1,1
Kepler-143 b,Kepler-143,2014,16.007583,0.127,2.409935,,,5848.0,1.36,,828.71,2,1
Kepler-143 c,Kepler-143,2014,27.082511,0.181,3.373909,,,5848.0,1.36,,828.71,2,1
Kepler-1440 b,Kepler-1440,2016,39.859484,,1.255408,,,5698.0,0.96,0.98,685.0,1,1
Kepler-1441 b,Kepler-1441,2016,39.4419839,,1.311453,,,5802.0,1.0,1.0,751.0,1,1
Kepler-1442 b,Kepler-1442,2016,81.4162941,,3.9343589999999997,,,6394.0,1.44,1.34,525.0,1,1
Kepler-1443 Ab,Kepler-1443 A,2016,2.41811321,,0.9751829999999999,,,6289.0,1.27,1.19,475.0,1,1
Kepler-1444 b,Kepler-1444,2016,33.42035034,,2.174546,,,5810.0,1.05,1.03,340.0,1,1
Kepler-1445 Ab,Kepler-1445 A,2016,10.60052083,0.0948,1.0895148,,987.0,6173.11,1.293,1.18,506.357,1,1
Kepler-1446 b,Kepler-1446,2016,0.68996783,,0.8182569999999999,,,4865.0,0.75,0.81,162.0,1,1
Kepler-1447 b,Kepler-1447,2016,56.6747285,,2.903131,,,5722.0,0.95,0.97,871.0,1,1
Kepler-1448 b,Kepler-1448,2016,12.27065865,,1.6140959999999998,,,5774.0,0.93,0.95,786.0,1,1
Kepler-1449 b,Kepler-1449,2016,13.2274528,,1.68135,,,5979.0,1.1,1.08,1321.0,1,1
Kepler-144 b,Kepler-144,2014,5.885273,0.066,1.3338709999999998,,,6075.0,1.24,1.03,389.22,2,1
Kepler-144 c,Kepler-144,2014,10.104665,0.094,1.3450799999999998,,,6075.0,1.24,1.03,389.22,2,1
Kepler-1450 b,Kepler-1450,2016,54.5094166,,1.714977,,,4524.0,0.68,0.71,490.0,1,1
Kepler-1451 b,Kepler-1451,2016,35.622233,,3.3514909999999998,,,5782.0,0.99,1.0,1159.0,1,1
Kepler-1452 b,Kepler-1452,2016,42.913751,,2.7013689999999997,,,6101.0,2.06,1.41,974.0,1,1
Kepler-1453 b,Kepler-1453,2016,47.1611696,,2.6677419999999996,,,5665.0,0.94,0.97,1284.0,1,1
Kepler-1454 b,Kepler-1454,2016,47.0319479,,1.8831120000000001,,,5448.0,0.86,0.9,795.0,1,1
Kepler-1455 b,Kepler-1455,2016,49.27668,0.2149,1.9301898,,298.0,3919.0,0.583,0.574,357.621,1,1
Kepler-1456 Ab,Kepler-1456 A,2016,18.1373788,0.1132,1.4100921999999998,,433.0,4116.0,0.653,0.64,370.312,1,1
Kepler-1457 b,Kepler-1457,2016,51.1110243,,1.995202,,,5866.0,1.01,1.01,728.0,1,1
Kepler-1458 b,Kepler-1458,2016,47.9872764,,2.757414,,,5653.0,0.94,0.96,642.0,1,1
Kepler-1459 b,Kepler-1459,2016,62.8691611,,1.3562889999999999,,,4828.0,0.74,0.78,435.0,1,1
Kepler-145 b,Kepler-145,2013,22.951,,2.6453239999999996,37.1826,,6022.0,1.98,1.28,576.15,2,1
Kepler-145 c,Kepler-145,2013,42.882,,4.315465,79.45,,6022.0,1.98,1.28,576.15,2,1
Kepler-1460 b,Kepler-1460,2016,29.9633247,,1.9615749999999998,,,4422.0,0.67,0.7,574.0,1,1
Kepler-1461 b,Kepler-1461,2016,29.3494775,,2.028829,,,4919.0,0.74,0.79,752.0,1,1
Kepler-1462 b,Kepler-1462,2016,65.6488341,,3.8222690000000004,,,5756.0,1.0,1.0,1368.0,1,1
Kepler-1463 b,Kepler-1463,2016,25.15864,,1.860694,,,5679.0,0.95,0.96,1341.0,1,1
Kepler-1464 b,Kepler-1464,2016,31.7785901,,1.6589319999999999,,,5828.0,1.01,1.02,692.0,2,1
Kepler-1464 c,Kepler-1464,2016,5.32786292,,0.997601,,,5828.0,1.01,1.02,692.0,2,1
Kepler-1465 b,Kepler-1465,2016,31.8277111,,1.7710219999999999,,,4726.0,0.71,0.75,350.0,1,1
Kepler-1466 b,Kepler-1466,2016,31.1750448,,1.546842,,,5884.0,1.02,1.01,686.0,1,1
Kepler-1467 b,Kepler-1467,2016,47.0569043,,3.2954459999999997,,,5332.0,0.82,0.86,890.0,1,1
Kepler-1468 b,Kepler-1468,2016,8.23984869,,1.726186,,,5774.53,1.841,1.03,1899.24,3,1
Kepler-1468 c,Kepler-1468,2016,3.54553021,,1.1545269999999999,,,5774.53,1.841,1.03,1899.24,3,1
Kepler-1468 d,Kepler-1468,2017,19.59059906,0.1456,3.33097853,,819.0,5774.53,1.841,1.03,1899.24,3,1
Kepler-1469 b,Kepler-1469,2016,21.8635301,,2.80225,,,5507.0,0.89,0.92,1255.0,1,1
Kepler-146 b,Kepler-146,2014,31.158799,0.2,3.710179,,,6034.0,1.16,1.1,716.797,2,1
Kepler-146 c,Kepler-146,2014,76.732171,0.364,3.1295528,,,6034.0,1.16,1.1,716.797,2,1
Kepler-1470 b,Kepler-1470,2016,16.2950903,,1.0648549999999999,,,4961.0,0.76,0.8,569.0,1,1
Kepler-1471 b,Kepler-1471,2016,3.63898953,0.0453,1.6802291,,1238.0,5500.0,0.876,0.96,978.678,2,1
Kepler-1471 c,Kepler-1471,2017,11.6044881,0.0981,2.2440417999999998,,841.0,5500.0,0.876,0.96,978.678,2,1
Kepler-1472 b,Kepler-1472,2016,38.1312831,,1.9055300000000002,,,6159.0,1.25,1.16,1269.0,1,1
Kepler-1473 b,Kepler-1473,2016,14.4273551,,1.188154,,,6046.0,1.09,1.09,625.0,1,1
Kepler-1474 b,Kepler-1474,2016,36.4333452,,2.163337,,,5870.0,1.04,1.04,1214.0,1,1
Kepler-1475 Ab,Kepler-1475 A,2016,82.177374,,2.925549,,,6214.0,1.28,1.18,1714.0,1,1
Kepler-1476 b,Kepler-1476,2016,10.35863224,,1.6701409999999999,,,5663.0,0.96,0.98,1218.0,1,1
Kepler-1477 b,Kepler-1477,2016,11.55530021,,1.176945,,,5100.0,0.78,0.81,525.0,1,1
Kepler-1478 b,Kepler-1478,2016,26.0840594,,1.726186,,,5904.0,1.06,1.04,1405.0,1,1
Kepler-1479 b,Kepler-1479,2016,14.53261362,,1.827067,,,5796.0,0.98,0.99,619.0,1,1
Kepler-147 b,Kepler-147,2014,12.610584,0.113,1.524424,,,6012.0,1.47,1.01,1073.89,2,1
Kepler-147 c,Kepler-147,2014,33.416423,0.216,2.432353,,,6012.0,1.47,1.01,1073.89,2,1
Kepler-1480 Ab,Kepler-1480 A,2016,22.1270885,0.1525,3.9399634999999997,,721.0,4986.94,0.799,0.83,500.892,1,1
Kepler-1481 Ab,Kepler-1481,2016,5.94220998,,1.23299,,,4908.0,0.75,0.8,493.0,1,1
Kepler-1482 Ab,Kepler-1482 A,2016,12.25384348,0.1016,1.00881,,678.0,5567.9,0.977,0.98,442.0,1,1
Kepler-1483 b,Kepler-1483,2016,9.5085156,,1.524424,,,6337.0,1.4,1.25,1327.0,1,1
Kepler-1484 b,Kepler-1484,2016,30.4549136,,2.1072919999999997,,,5730.0,0.92,0.94,1095.0,1,1
Kepler-1485 b,Kepler-1485,2016,19.9157725,,1.468379,,,6087.0,1.12,1.11,550.0,1,1
Kepler-1486 b,Kepler-1486,2016,54.6495759,,2.3202629999999997,,,5965.0,1.12,1.08,1465.0,1,1
Kepler-1487 b,Kepler-1487,2015,7.31945294,0.0898,5.0496545,,1682.0,6408.0,1.54,1.29,1014.62,2,1
Kepler-1487 c,Kepler-1487,2015,35.79949951,0.2588,8.9582328,,991.0,6408.0,1.54,1.29,1014.62,2,1
Kepler-1488 b,Kepler-1488,2016,39.8189932,,1.860694,,,5757.09,1.9769,1.03,905.825,2,1
Kepler-1488 c,Kepler-1488,2017,6.158269882,0.0658,1.65097361,,1212.0,5757.09,1.9769,1.03,905.825,2,1
Kepler-1489 b,Kepler-1489,2016,82.294751,,1.7710219999999999,,,5655.0,1.308,1.0,1283.05,2,1
Kepler-1489 c,Kepler-1489,2023,0.680741,0.0146,0.5100095,,,5655.0,1.308,1.0,1283.05,2,1
Kepler-148 b,Kepler-148,2014,1.729366,0.028,1.804649,,,5272.0,0.85,,809.42,3,1
Kepler-148 c,Kepler-148,2014,4.180043,0.05,3.598089,,,5272.0,0.85,,809.42,3,1
Kepler-148 d,Kepler-148,2016,51.84688575,,8.675766,,,5272.0,0.85,,809.42,3,1
Kepler-1490 b,Kepler-1490,2016,92.4362973,,3.037639,,,5515.0,0.87,0.9,968.0,1,1
Kepler-1491 b,Kepler-1491,2016,16.5860329,0.127,2.084874,,,5548.33,1.628,0.98,2065.59,2,1
Kepler-1491 c,Kepler-1491,2015,61.569765,0.3045,3.12607801,,530.0,5548.33,1.628,0.98,2065.59,2,1
Kepler-1492 b,Kepler-1492,2016,16.75255007,,1.490797,,,4712.0,0.72,0.77,371.0,1,1
Kepler-1493 Ab,Kepler-1493 A,2016,15.0217983,,1.412334,,,5863.0,1.29,1.06,572.0,1,1
Kepler-1494 b,Kepler-1494,2016,91.080482,,3.071266,,,5659.0,0.94,0.96,1059.0,1,1
Kepler-1495 b,Kepler-1495,2016,85.273256,,2.936758,,,5831.0,1.04,1.03,1307.0,1,1
Kepler-1496 b,Kepler-1496,2016,64.6588017,,2.219382,,,6182.0,1.27,1.18,1293.0,1,1
Kepler-1497 b,Kepler-1497,2016,8.74199772,,1.6589319999999999,,,5675.0,0.95,0.96,1122.0,1,1
Kepler-1498 Ab,Kepler-1498 A,2016,48.051405,,1.3338709999999998,,,5256.0,0.81,0.86,740.0,1,1
Kepler-1499 b,Kepler-1499,2016,44.2008,,1.188154,,,5097.0,0.78,0.82,310.0,1,1
Kepler-149 Ab,Kepler-149 A,2014,29.19899219,0.1815,4.1495717999999995,,540.0,5380.49,1.0,0.93,571.034,3,1
Kepler-149 Ac,Kepler-149 A,2014,55.3291399,0.2779,1.6701409999999999,,436.0,5380.49,1.0,0.93,571.034,3,1
Kepler-149 Ad,Kepler-149 A,2014,160.0191598,0.5642,4.279596199999999,,306.0,5380.49,1.0,0.93,571.034,3,1
Kepler-1504 b,Kepler-1504,2016,82.304003,,2.1297099999999998,,,5393.0,0.81,0.85,1029.0,1,1
Kepler-14 Ab,Kepler-14 A,2011,6.790123,,12.733423999999998,2669.52,1573.0,6395.0,2.05,1.51,980.0,1,1
Kepler-1500 b,Kepler-1500,2016,15.0330105,,1.199363,,,5845.0,1.0,1.0,904.0,1,1
Kepler-1501 b,Kepler-1501,2016,14.5564533,,1.558051,,,6229.0,1.3,1.2,888.0,1,1
Kepler-1502 b,Kepler-1502,2016,41.7083629,,3.1833559999999994,,,6666.0,1.72,1.44,1540.0,1,1
Kepler-1503 b,Kepler-1503,2016,96.16987,,2.275427,,,5069.0,0.74,0.77,850.0,1,1
Kepler-1505 Ab,Kepler-1505 A,2016,30.8609366,,0.930347,,,5686.0,0.86,0.93,359.0,1,1
Kepler-1506 b,Kepler-1506,2016,14.0329154,,1.3226619999999998,,,5676.0,0.93,0.95,1318.0,1,1
Kepler-1507 b,Kepler-1507,2016,16.0506213,,0.840675,,,5410.0,0.85,0.89,342.0,1,1
Kepler-1508 b,Kepler-1508,2016,20.7056504,,1.3338709999999998,,,6158.0,1.22,1.14,892.0,1,1
Kepler-1509 b,Kepler-1509,2016,25.4338197,,1.849485,,,5780.0,0.99,1.0,1277.0,1,1
Kepler-150 b,Kepler-150,2014,3.428054,0.044,1.255408,,,5560.0,0.94,,914.4,5,1
Kepler-150 c,Kepler-150,2014,7.381998,0.073,3.687761,,,5560.0,0.94,,914.4,5,1
Kepler-150 d,Kepler-150,2014,12.56093,0.104,2.791041,,,5560.0,0.94,,914.4,5,1
Kepler-150 e,Kepler-150,2014,30.826557,0.189,3.116102,,,5560.0,0.94,,914.4,5,1
Kepler-150 f,Kepler-150,2017,637.2093,1.24,3.642925,8.99374,,5560.0,0.94,,914.4,5,1
Kepler-1510 b,Kepler-1510,2016,84.703921,,3.3627,,,6200.0,1.28,1.19,1615.0,1,1
Kepler-1511 b,Kepler-1511,2016,23.2382792,,1.68135,,,6064.0,1.29,1.17,897.0,1,1
Kepler-1512 Ab,Kepler-1512 A,2016,20.35972599,,1.176945,,,4372.0,0.67,0.73,162.0,1,1
Kepler-1513 Ab,Kepler-1513 A,2016,160.8842,0.5416,8.59405239,48.3056,346.0,5491.0,0.95,0.943,349.247,2,1
Kepler-1513 Ac,Kepler-1513 A,2023,841.4,1.711,,,,5491.0,0.95,0.943,349.247,2,1
Kepler-1514 b,Kepler-1514,2016,217.83184,0.753,12.419572,1677.9840000000002,388.0,6145.0,1.29,1.2,389.3,2,1
Kepler-1514 c,Kepler-1514,2020,10.514181,0.0997,1.176945,,1066.0,6145.0,1.29,1.2,389.3,2,1
Kepler-1515 b,Kepler-1515,2016,214.3114164,,9.550068,,,6511.0,1.41,1.3,504.0,1,1
Kepler-1516 b,Kepler-1516,2016,7.25931979,,1.748604,,,5904.0,1.07,1.04,872.0,1,1
Kepler-1517 b,Kepler-1517,2016,5.54608367,,9.763039,,,7010.0,1.95,1.58,869.0,1,1
Kepler-1518 b,Kepler-1518,2016,5.1117547,0.0593,2.8100962999999997,,1351.0,6856.98,1.57,1.49,903.51,2,1
Kepler-1518 c,Kepler-1518,2017,9.6310258,0.0905,2.903131,,1094.0,6856.98,1.57,1.49,903.51,2,1
Kepler-1519 b,Kepler-1519,2016,240.7989397,,7.0616699999999994,,,5644.0,0.91,0.94,858.0,1,1
Kepler-151 b,Kepler-151,2014,15.228958,0.116,3.060057,,,5460.0,0.83,0.83,662.19,2,1
Kepler-151 c,Kepler-151,2014,24.674612,0.16,2.084874,,,5460.0,0.83,0.83,662.19,2,1
Kepler-1520 b,Kepler-1520,2016,0.65355357,0.013,,0.0200214,,4677.0,0.71,0.76,636.0,1,1
Kepler-1521 b,Kepler-1521,2016,47.14840805,,2.499607,,,5042.0,0.76,0.81,227.0,1,1
Kepler-1522 b,Kepler-1522,2016,1.84788917,,1.726186,,,5706.0,0.93,0.96,690.0,1,1
Kepler-1523 b,Kepler-1523,2016,0.93875077,,1.580469,,,5708.0,0.96,0.97,918.0,1,1
Kepler-1524 b,Kepler-1524,2016,70.9674603,,3.5420439999999997,,,6179.0,1.25,1.17,506.0,1,1
Kepler-1525 b,Kepler-1525,2016,2.41660118,,0.907929,,,5748.0,1.04,1.07,396.0,1,1
Kepler-1526 b,Kepler-1526,2016,3.908632,,2.432353,,,4601.0,0.69,0.73,576.0,1,1
Kepler-1527 b,Kepler-1527,2016,160.129918,,4.775034,,,6224.0,1.32,1.21,1560.0,1,1
Kepler-1528 b,Kepler-1528,2016,1.79111021,,1.45717,,,5857.0,1.03,1.03,916.0,1,1
Kepler-1529 b,Kepler-1529,2016,5.33905686,,2.096083,,,5048.0,0.77,0.81,683.0,1,1
Kepler-152 b,Kepler-152,2014,18.207973,0.124,2.791041,,,5050.0,0.765,0.84,441.09,2,1
Kepler-152 c,Kepler-152,2014,88.255055,0.356,2.387517,,,5050.0,0.765,0.84,441.09,2,1
Kepler-1530 b,Kepler-1530,2016,2.5904434,,1.6365139999999998,,,5338.57,0.817,0.92,489.876,3,1
Kepler-1530 c,Kepler-1530,2016,5.3227406,,1.6477229999999998,,,5338.57,0.817,0.92,489.876,3,1
Kepler-1530 d,Kepler-1530,2017,9.20761013,0.0865,3.2780720499999996,,972.0,5338.57,0.817,0.92,489.876,3,1
Kepler-1531 b,Kepler-1531,2016,1.13854338,,1.109691,,,6260.0,1.27,1.16,670.0,1,1
Kepler-1532 b,Kepler-1532,2016,1.09366356,,1.3450799999999998,,,5559.0,0.88,0.91,824.0,1,1
Kepler-1533 b,Kepler-1533,2016,308.5471,,3.463581,,,6431.0,1.51,1.31,852.0,1,1
Kepler-1534 b,Kepler-1534,2016,5.71668872,,1.8943210000000001,,,5442.0,0.86,0.9,1107.0,1,1
Kepler-1535 b,Kepler-1535,2016,138.9442,,2.544443,,,6021.0,1.11,1.08,879.0,1,1
Kepler-1536 b,Kepler-1536,2016,364.758031,,3.13852,,,4434.0,0.67,0.71,401.0,1,1
Kepler-1537 b,Kepler-1537,2016,1.4444538,,1.176945,,,5079.0,0.77,0.81,503.0,1,1
Kepler-1538 b,Kepler-1538,2016,175.138819,,2.824668,,,5837.0,1.03,1.03,1291.0,1,1
Kepler-1539 b,Kepler-1539,2016,133.3036741,,2.7013689999999997,,,5176.0,0.8,0.84,788.0,1,1
Kepler-153 b,Kepler-153,2014,18.870227,0.129,2.925549,,,5404.0,0.89,,465.53,2,1
Kepler-153 c,Kepler-153,2014,46.90232,0.237,2.533234,,,5404.0,0.89,,465.53,2,1
Kepler-1540 Ab,Kepler-1540 A,2016,125.4132302,0.4426,3.1396409000000003,,266.0,4323.0,0.695,0.676,244.96,1,1
Kepler-1541 Ab,Kepler-1541 A,2016,8.40693068,0.0781,1.9503659999999998,,1048.0,5301.74,0.805,0.91,416.692,1,1
Kepler-1542 Ab,Kepler-1542 A,2016,3.95116882,,0.762212,,,5564.0,0.99,0.94,336.0,4,1
Kepler-1542 Ac,Kepler-1542 A,2016,2.89223021,,0.650122,,,5564.0,0.99,0.94,336.0,4,1
Kepler-1542 Ad,Kepler-1542 A,2016,5.99273738,,0.874302,,,5564.0,0.99,0.94,336.0,4,1
Kepler-1542 Ae,Kepler-1542 A,2016,5.10115756,,0.762212,,,5564.0,0.99,0.94,336.0,4,1
Kepler-1543 b,Kepler-1543,2016,6.96710269,,2.7125779999999997,,,6561.0,1.65,1.39,1114.0,1,1
Kepler-1544 b,Kepler-1544,2016,168.811174,,1.782231,,,4886.0,0.74,0.81,349.0,1,1
Kepler-1545 b,Kepler-1545,2016,163.692349,,2.7013689999999997,,,5201.0,0.8,0.84,688.0,1,1
Kepler-1546 b,Kepler-1546,2016,19.5974971,,3.127311,,,5623.0,0.93,0.95,994.0,1,1
Kepler-1547 b,Kepler-1547,2016,0.69297968,,0.89672,,,6078.0,1.18,1.12,665.0,1,1
Kepler-1548 b,Kepler-1548,2016,124.828679,,2.6453239999999996,,,5706.0,0.97,0.99,1150.0,1,1
Kepler-1549 b,Kepler-1549,2016,214.886545,,2.566861,,,5324.0,0.84,0.88,792.0,1,1
Kepler-154 b,Kepler-154,2014,33.040532,0.198,2.264218,,,5690.0,1.0,0.89,939.89,6,1
Kepler-154 c,Kepler-154,2014,62.303276,0.303,2.9479670000000002,,,5690.0,1.0,0.89,939.89,6,1
Kepler-154 d,Kepler-154,2016,20.54981883,,3.844687,,,5690.0,1.0,0.89,939.89,6,1
Kepler-154 e,Kepler-154,2016,3.93276465,,1.502006,,,5690.0,1.0,0.89,939.89,6,1
Kepler-154 f,Kepler-154,2016,9.91935684,,1.502006,,,5690.0,1.0,0.89,939.89,6,1
Kepler-154 g,Kepler-154,2019,1250.0,,10.2506305,,,5690.0,1.0,0.89,939.89,6,1
Kepler-1550 b,Kepler-1550,2016,225.582809,,3.015221,,,5991.0,1.11,1.07,1202.0,1,1
Kepler-1551 b,Kepler-1551,2016,24.4973698,,2.6565329999999996,,,6136.0,1.22,1.14,1560.0,1,1
Kepler-1552 b,Kepler-1552,2016,184.771853,,2.46598,,,5202.0,0.78,0.85,618.0,1,1
Kepler-1553 b,Kepler-1553,2016,4.24261881,,1.1545269999999999,,,5288.0,0.81,0.85,719.0,1,1
Kepler-1554 b,Kepler-1554,2016,198.088774,,2.903131,,,5297.0,0.81,0.84,982.0,1,1
Kepler-1555 b,Kepler-1555,2016,8.10501635,,1.6140959999999998,,,5866.0,1.06,1.04,1382.0,1,1
Kepler-1556 b,Kepler-1556,2016,8.82713457,,1.9615749999999998,,,5608.0,0.95,0.97,1060.0,1,1
Kepler-1557 b,Kepler-1557,2016,3.74032496,,1.524424,,,6099.0,1.17,1.11,1532.0,1,1
Kepler-1558 b,Kepler-1558,2016,3.50470358,,0.6837489999999999,,,5101.0,0.79,0.83,343.0,1,1
Kepler-1559 b,Kepler-1559,2016,0.97191543,,0.717376,,,5316.0,0.82,0.86,580.0,1,1
Kepler-155 b,Kepler-155,2014,5.931194,0.056,2.084874,,,4508.0,0.62,0.58,295.99,2,1
Kepler-155 c,Kepler-155,2014,52.661793,0.242,2.2418,,,4508.0,0.62,0.58,295.99,2,1
Kepler-1560 Ab,Kepler-1560 A,2016,3.03195744,,0.8855109999999999,,,5658.26,1.0,1.0,502.497,1,1
Kepler-1561 b,Kepler-1561,2016,1.00520701,,1.087273,,,5957.0,1.11,1.07,993.0,1,1
Kepler-1562 b,Kepler-1562,2016,64.2737752,,3.5532529999999998,,,5760.0,1.05,1.02,1315.0,1,1
Kepler-1563 b,Kepler-1563,2016,3.43276598,,0.751003,,,5765.0,0.99,1.0,547.0,1,1
Kepler-1564 b,Kepler-1564,2016,18.0540381,,1.468379,,,5528.0,0.9,0.93,872.0,1,1
Kepler-1565 b,Kepler-1565,2016,1.53818844,,1.188154,,,4940.0,0.73,0.76,657.0,1,1
Kepler-1566 b,Kepler-1566,2016,0.53991524,,0.78463,,,5254.0,0.81,0.84,511.0,1,1
Kepler-1567 b,Kepler-1567,2016,153.979578,,2.7349959999999998,,,5655.0,0.93,0.95,1226.0,1,1
Kepler-1568 b,Kepler-1568,2016,20.925392,,1.300244,,,5956.0,1.19,1.09,883.0,1,1
Kepler-1569 b,Kepler-1569,2016,5.79180156,0.06669,1.43105303,,1222.0,6087.94,1.32,1.14,945.454,2,1
Kepler-1569 c,Kepler-1569,2015,9.997,0.0927,1.0590263199999999,,1016.0,6087.94,1.32,1.14,945.454,2,1
Kepler-156 b,Kepler-156,2014,4.973456,0.054,2.2978449999999997,,,5094.0,0.81,,449.22,2,1
Kepler-156 c,Kepler-156,2014,15.906801,0.117,2.544443,,,5094.0,0.81,,449.22,2,1
Kepler-1570 b,Kepler-1570,2016,26.548955,,1.0648549999999999,,,5550.0,0.89,0.92,463.0,1,1
Kepler-1571 b,Kepler-1571,2016,3.38555488,,1.524424,,,6297.0,1.39,1.23,802.0,1,1
Kepler-1572 b,Kepler-1572,2016,5.49548621,,0.9415560000000001,,,5618.0,0.95,0.97,600.0,1,1
Kepler-1573 b,Kepler-1573,2016,2.6157554,,1.199363,,,5808.0,1.0,1.01,1180.0,1,1
Kepler-1574 b,Kepler-1574,2016,6.9424334,,1.289035,,,5892.0,1.08,1.06,1275.0,1,1
Kepler-1575 b,Kepler-1575,2016,2.55314213,,1.311453,,,5667.0,0.92,0.95,1170.0,1,1
Kepler-1576 b,Kepler-1576,2016,6.98471973,,1.042437,,,5674.51,0.961,1.01,460.91,1,1
Kepler-1577 b,Kepler-1577,2016,6.30560247,,1.132109,,,4862.0,0.74,0.78,543.0,1,1
Kepler-1578 b,Kepler-1578,2016,1.45088691,,1.042437,,,5545.0,0.86,0.9,1016.0,1,1
Kepler-1579 Ab,Kepler-1579 A,2016,0.84990789,,0.840675,,,4584.0,0.7,0.75,466.0,1,1
Kepler-157 Ab,Kepler-157 A,2014,1.732342,0.028,1.3226619999999998,,,5774.0,1.04,,791.27,3,1
Kepler-157 Ac,Kepler-157 A,2014,13.5405,0.11,2.2418,,,5774.0,1.04,,791.27,3,1
Kepler-157 Ad,Kepler-157 A,2016,7.02573474,,1.45717,,,5774.0,1.04,,791.27,3,1
Kepler-1580 b,Kepler-1580,2016,56.6449279,,2.1072919999999997,,,6228.0,2.15,1.47,872.0,1,1
Kepler-1581 b,Kepler-1581,2016,6.28385491,,0.7958389999999999,,,6022.0,1.23,1.12,443.0,1,1
Kepler-1582 b,Kepler-1582,2016,4.83817712,,1.490797,,,3208.0,0.3,0.28,112.0,1,1
Kepler-1583 Ab,Kepler-1583 A,2016,9.32807355,,0.605286,,,5645.0,0.91,0.94,357.0,1,1
Kepler-1584 b,Kepler-1584,2016,13.3997099,,1.6140959999999998,,,6069.0,1.13,1.1,1325.0,1,1
Kepler-1585 b,Kepler-1585,2016,3.5827463,,1.79344,,,5538.0,0.91,0.94,1269.0,1,1
Kepler-1586 b,Kepler-1586,2016,15.6049212,,1.524424,,,6681.0,1.75,1.45,864.0,1,1
Kepler-1587 b,Kepler-1587,2016,9.4060467,,1.3338709999999998,,,5933.0,1.22,1.08,907.0,1,1
Kepler-1588 b,Kepler-1588,2016,7.84931739,,0.762212,,,5817.0,0.99,0.96,658.0,1,1
Kepler-1589 b,Kepler-1589,2016,0.99166527,,1.087273,,,6166.0,1.25,1.18,1418.0,1,1
Kepler-158 b,Kepler-158,2014,16.709184,0.111,2.1185009999999997,,,4628.0,0.65,0.73,315.177,3,1
Kepler-158 c,Kepler-158,2014,28.551383,0.158,1.9055300000000002,,,4628.0,0.65,0.73,315.177,3,1
Kepler-158 d,Kepler-158,2023,0.645088,0.0124,0.43042559999999996,,,4628.0,0.65,0.73,315.177,3,1
Kepler-1590 b,Kepler-1590,2016,7.61760804,,1.1433179999999998,,,6053.0,1.16,1.11,900.0,1,1
Kepler-1591 b,Kepler-1591,2016,8.18504949,,1.266617,,,6082.0,1.16,1.1,1090.0,1,1
Kepler-1592 b,Kepler-1592,2016,3.05710069,,1.535633,,,6213.0,1.28,1.18,1349.0,1,1
Kepler-1593 b,Kepler-1593,2016,174.509835,,3.1721469999999994,,,4995.0,0.77,0.81,755.0,1,1
Kepler-1594 b,Kepler-1594,2016,2.71603809,,1.0648549999999999,,,5946.0,1.08,1.06,1100.0,1,1
Kepler-1595 b,Kepler-1595,2016,4.56380468,,1.23299,,,5203.0,0.8,0.84,841.0,1,1
Kepler-1596 b,Kepler-1596,2016,66.373379,,1.9055300000000002,,,5706.0,0.92,0.95,1166.0,1,1
Kepler-1597 b,Kepler-1597,2016,2.94654179,,1.0648549999999999,,,6377.0,1.39,1.25,1255.0,1,1
Kepler-1598 b,Kepler-1598,2016,4.34195123,,0.9527650000000001,,,5940.0,1.09,1.07,734.0,1,1
Kepler-1599 b,Kepler-1599,2016,122.363553,,1.6253049999999998,,,5767.0,0.99,0.99,1004.0,1,1
Kepler-159 b,Kepler-159,2014,10.139623,0.082,2.376308,,,4625.0,0.66,,377.79,2,1
