pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1643 b,Kepler-1643,2016,5.34264507,,2.2978449999999997,,,5508.0,0.88,0.92,414.0,1,1
Kepler-1644 Ab,Kepler-1644 A,2016,21.0907758,,1.8831120000000001,,,5499.0,0.86,0.89,592.0,1,1
Kepler-1645 b,Kepler-1645,2016,16.1779561,,1.782231,,,5812.0,1.02,1.02,844.0,1,1
Kepler-1646 b,Kepler-1646,2016,4.48558383,,1.23299,,,3299.0,0.26,0.24,81.0,1,1
Kepler-1647 (AB)b,Kepler-1647 (AB),2015,1107.5923,2.7205,11.88154,483.05600000000004,,6210.0,1.79,2.1885,1212.45,1,1
Kepler-1649 Ab,Kepler-1649 A,2017,8.689099,0.0514,1.020019,,307.0,3240.0,0.23,0.2,92.43,2,1
Kepler-1649 Ac,Kepler-1649 A,2020,19.53527,,1.0648549999999999,,234.0,3240.0,0.23,0.2,92.43,2,1
Kepler-164 b,Kepler-164,2014,5.03505665,0.0568,1.6297886,,1141.0,6095.0,1.02,1.14,890.758,4,1
Kepler-164 c,Kepler-164,2014,10.94577783,0.0954,2.3796706999999997,,881.0,6095.0,1.02,1.14,890.758,4,1
Kepler-1790 b,Kepler-1790,2017,31.5889,,3.1396409000000003,,,6108.0,1.39,1.15,1070.17,1,1
Kepler-164 d,Kepler-164,2014,28.9869016,0.1826,2.7013689999999997,,637.0,6095.0,1.02,1.14,890.758,4,1
Kepler-164 e,Kepler-164,2016,94.886902,0.4025,4.03524,,429.0,6095.0,1.02,1.14,890.758,4,1
Kepler-1650 b,Kepler-1650,2017,1.53818001,0.0163,0.9639739999999999,,582.0,3410.0,0.33,0.33,120.5,1,1
Kepler-1651 Ab,Kepler-1651 A,2017,9.87863917,0.0619,1.838276,,353.0,3759.27,0.46,0.57,66.4074,1,1
Kepler-1652 b,Kepler-1652,2017,38.09722,0.1654,1.6028869999999997,,268.0,3638.0,0.38,0.4,252.0,1,1
Kepler-1653 Ab,Kepler-1653,2017,140.2524,0.4706,2.174546,,284.0,4807.0,0.69,0.72,755.0,1,1
