pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_dens,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
GJ 367 b,GJ 367,1,3,0,0,Transit,2021,0.3219226,0.0071,0.736,0.06566164,0.503,0.00158261,0.0,579.0,1329.0,6.9,78.6,3535.0,0.457,0.451,-0.01,4.776,,6.65438,9.41263,10.153,5.78,9.15159
HD 34445 d,HD 34445,1,6,0,0,Radial Velocity,2017,117.87,0.4817,6.07,0.542,30.7,0.097,0.027,8.6625,476.32,0.754,,5836.0,1.38,1.07,0.14,4.21,8.5,0.467199,46.0907,7.31,5.79,7.14947
Kepler-1322 c,Kepler-1322,1,2,0,0,Transit,2021,6.459980011,0.0652,2.15492527,0.19224989,5.29,0.0166,0.0,144.06,883.0,2.9,86.82,5704.0,0.804,0.897,-0.3,4.575,0.4,1.50481,1350.32,15.876,14.068,15.7753
HIP 65407 b,HIP 65407,1,2,0,0,Radial Velocity,2016,28.125,0.177,14.3,1.28,136.03124,0.428,0.14,20.7979,610.68,0.256,,5460.0,0.952252,0.93,0.25,4.47,,1.571984,61.7804,9.38,7.578,9.15101
K2-179 b,K2-179,1,1,0,0,Transit,2018,5.172191,,2.51267885,0.22416619,6.86,0.0216,,,,2.38,88.75496,5015.0,0.768067,0.824345,0.03,4.63,,3.349508,190.81,12.939,10.555,12.691
Kepler-68 c,Kepler-68,2,4,0,0,Transit,2013,9.605027,0.09008,0.979,0.08734068,1.3,0.00409026,0.099,204.0,1052.0,7.5,87.071,5847.0,1.2564,1.057,0.11,4.281,6.84,0.7903,144.166,10.077,8.588,9.93355
Kepler-25 b,Kepler-25,2,3,0,0,Transit,2011,6.238297,0.0695,2.748,0.24516014,8.7,0.0275,0.0029,542.96,1185.0,2.32,92.827,6354.0,1.316,1.165,0.11,4.285,2.75,0.75,243.249,10.769,9.493,10.6319
Kepler-504 b,Kepler-504,2,1,0,0,Transit,2016,9.549275422,0.0646,1.59,0.1418503,3.15,0.00993,0.0,5.991,374.0,4.31,89.92,3519.0,0.33,0.33,-0.31,4.94,4.17,7.930231,99.0688,15.143,11.155,14.4582
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,0,0,Microlensing,2015,,0.74,13.6,1.21,120.0,0.39,,,,0.262,,,,0.34,,,,,1300.0,,,
OGLE-2018-BLG-1647L b,OGLE-2018-BLG-1647L,1,1,0,0,Microlensing,2022,,1.36,13.8,1.23,308.29355479,0.97,,,,0.645,,,,0.092,,,,,7880.0,,,
TOI-5301 b,TOI-5301,1,1,0,0,Transit,2024,5.858858,0.073,13.09208946,1.168,1182.32167404,3.72,0.33,429.794,1648.0,2.88,83.3,6240.0,2.19,1.483,0.03,3.926,2.43,0.197,629.161,11.738,10.336,11.5696
WASP-91 b,WASP-91,1,1,0,0,Transit,2017,2.798581,0.037,11.54527,1.03,425.8922,1.34,0.0,332.5562,1160.0,1.59,86.8,4920.0,0.86,0.84,0.19,4.3,,1.83,149.942,11.98,9.712,11.6236
Kepler-895 b,Kepler-895,1,1,0,0,Transit,2016,2.806242328,0.0328,1.54,0.1373896,2.99,0.0094,0.0,106.585,771.0,4.5,89.82,4315.0,0.61,0.65,-0.16,4.67,2.63,5.02117,540.134,16.21,13.387,15.9804
