pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
TOI-762 A b,TOI-762 A,1,2,1,0,0,2024.0,0,3.4716826,0.03418,8.33948164,0.744,79.77493016,0.251,Mass,,555.4,3266.0,0.425,0.442,4.827,98.4458
TOI-763 b,TOI-763,1,1,2,0,0,2020.0,0,5.6057,0.06,2.28,0.20340798,9.79,0.03080263,Mass,,1038.0,5450.0,0.897,0.917,4.45,95.1274
TOI-763 c,TOI-763,1,1,2,0,0,2020.0,0,12.2737,0.1011,2.63,0.23463288,9.32,0.02932385,Mass,,800.0,5450.0,0.897,0.917,4.45,95.1274
TOI-771 b,TOI-771,1,1,2,0,0,2024.0,0,2.3260155,0.0208,1.36,0.12133128,2.47,0.00777149,Mass,14.0,543.0,3370.0,0.232,0.22,4.8,25.2788
TOI-771 c,TOI-771,1,1,2,0,0,2025.0,0,7.61,0.046,,,2.87,0.00903003,Msini,3.0,365.0,3370.0,0.232,0.22,4.8,25.2788
TOI-776 b,TOI-776,1,1,2,0,0,2020.0,0,8.24662,0.0653,1.798,0.16040709,5.0,0.01573176,Mass,11.5,520.0,3725.0,0.547,0.542,4.8,27.1701
TOI-776 c,TOI-776,1,1,2,0,0,2020.0,0,15.665323,0.1001,2.047,0.18262142,6.9,0.02170983,Mass,4.9,420.0,3725.0,0.547,0.542,4.8,27.1701
TOI-778 b,TOI-778,1,1,1,0,0,2023.0,0,4.633611,0.06,15.4,1.37,878.0,2.8,Mass,,1561.0,6643.0,1.71,1.4,4.05,161.743
TOI-782 b,TOI-782,1,1,1,0,0,2024.0,0,8.0240015,0.0578,2.734,0.24391156,19.1,0.06009532,Mass,5.91,435.0,3370.0,0.413,0.397,4.804,52.5122
TOI-784 b,HD 307842,1,1,1,0,0,2023.0,0,2.7970365,0.038,1.93,0.17218336,9.67,0.03042522,Mass,,,5558.0,0.907,0.91,4.48,64.5997
TOI-799 b,TOI-799,1,1,1,0,0,2026.0,0,5.54519139676,,2.06631784,0.18434485,,,,,,5662.81,0.915519,,4.5252,158.526
TOI-808 b,TOI-808,1,1,1,0,0,2026.0,0,9.73944854026,,2.20344362,0.19657841,,,,,,5078.2,0.833198,,4.5069,98.1848
TOI-813 b,TOI-813,1,1,1,0,0,2020.0,0,83.8911,0.423,6.71,0.5986261,,,,23.1,610.0,5907.0,1.94,1.32,3.86,263.145
TOI-815 b,TOI-815,1,2,2,0,0,2024.0,0,11.197259,0.0903,2.94,0.26228968,7.6,0.02391227,Mass,36.9,686.0,4869.0,0.77,0.776,4.51,59.7117
TOI-815 c,TOI-815,1,2,2,0,0,2024.0,0,34.976145,0.193,2.62,0.23374115,23.5,0.07393927,Mass,8.03,469.0,4869.0,0.77,0.776,4.51,59.7117
TOI-824 b,TOI-824,1,1,1,0,0,2020.0,0,1.392978,0.02177,2.926,0.26104024,18.467,0.05810339,Mass,412.0,1253.0,4600.0,0.695,0.71,4.605,63.9262
TOI-833 b,TOI-833,1,1,1,0,0,2022.0,0,1.0418777,0.0171,1.27,0.11330201,,,,,1118.0,3920.0,0.6,0.61,4.67,41.7148
TOI-836 b,TOI-836,1,1,2,0,0,2023.0,0,3.81673,0.0422,1.704,0.15202096,4.53,0.01425297,Mass,78.838,871.0,4552.0,0.665,0.678,4.743,27.5024
TOI-836.01,TOI-836,1,1,2,0,0,2021.0,0,8.59545,0.075,2.587,0.23079708,9.6,0.03020498,Mass,26.707,665.0,4552.0,0.665,0.678,4.743,27.5024
TOI-837 b,TOI-837,1,1,1,0,0,2020.0,0,8.3249113,0.0888,9.16894621,0.818,120.45696625,0.379,Mass,164.0,995.3,5995.0,1.052,1.142,4.453,142.488
TOI-849 b,TOI-849,1,1,1,0,0,2020.0,0,0.765548,0.0155,3.64,0.32473961,41.8,0.13151751,Mass,,,5257.0,0.97,0.97,,225.734
TOI-858 B b,TOI-858 B,1,2,1,0,0,2023.0,0,3.2797178,0.04435,14.06727078,1.255,349.6112477,1.1,Mass,908.9,1529.0,5842.0,1.308,1.081,4.238,250.489
TOI-871 b,TOI-871,1,1,1,0,0,2024.0,0,14.362565,0.1054,1.664,0.14845239,,,,24.78,621.0,4929.0,0.719,0.758,4.604,68.0473
TOI-880 c,TOI-880,1,1,2,0,0,2025.0,0,6.3872703,0.0635,4.95,0.44161018,,,,,805.0,5050.0,0.83,0.87,4.53,60.6679
TOI-880.02,TOI-880,1,1,2,0,0,2024.0,0,2.57571,0.0349,2.19,0.19537905,,,,,1085.0,5050.0,0.83,0.87,4.53,60.6679
TOI-883 b,TOI-883,1,1,1,0,0,2026.0,0,10.05771848538,,7.17166228,0.63981396,,,,,,5713.15,1.01477,,4.4321,102.637
TOI-892 b,TOI-892,1,1,1,0,0,2020.0,0,10.62656,0.092,11.99363,1.07,301.9385,0.95,Mass,,1397.0,6261.0,1.39,1.28,4.26,340.543
TOI-904 b,TOI-904,1,1,2,0,0,2023.0,0,10.8772,0.056,2.426,0.2164336,,,,,429.43,3770.2,0.527,0.557,,46.0891
TOI-904 c,TOI-904,1,1,2,0,0,2023.0,0,83.9997,0.312,2.167,0.19332712,,,,,217.26,3770.2,0.527,0.557,,46.0891
TOI-905 b,TOI-905,1,1,1,0,0,2020.0,0,3.739494,0.04666,13.125739,1.171,211.99261,0.667,Mass,337.0,1192.0,5570.0,0.918,0.968,4.498,158.649
TOI-907.01,TOI-907,1,1,1,0,0,2024.0,0,4.5849129,0.055225481,9.6158851,0.85694229,,,,1729.6714,1846.6,6272.0,2.059789,1.069357,3.8399,312.529
TOI-908 b,TOI-908,1,1,1,0,0,2023.0,0,3.183792,0.041657,3.186,0.28423637,16.137,0.05077268,Mass,80.884,1317.0,5626.0,1.028,0.95,4.45,175.748
TOI-912 b,TOI-912,1,1,1,0,0,2025.0,0,4.6780691,0.041,1.93,0.17218336,5.1,0.01604639,Mass,15.0,551.0,3572.0,0.419,0.418,4.98,26.1072
TOI-913 b,TOI-913,1,1,1,0,0,2023.0,0,11.098644,,2.4528,0.21882454,,,,,712.01,4969.0,0.7325,0.82,4.622,65.1769
TOI-921 b,TOI-921,1,1,1,0,0,2026.0,0,5.12871907628,,3.53409617,0.31529149,,,,,,6011.66,1.14165,,4.3447,294.015
TOI-929 b,TOI-929,1,1,1,0,0,2026.0,0,5.83015366944,,2.68983343,0.23997128,,,,,,4457.16,0.717414,,4.5865,114.421
TOI-938 b,TOI-938,1,1,1,0,0,2026.0,0,8.80733882211,,4.82401567,0.43037059,,,,,,5829.42,0.985134,,4.3863,215.034
TOI-941 b,TOI-941,1,1,1,0,0,2026.0,0,8.51460888787,,6.51165317,0.58093179,,,,,,5745.88,1.1849,,4.2607,263.386
TOI-942 b,TOI-942,1,1,2,0,0,2020.0,0,4.32421,0.04866,3.89,0.34704315,826.358,,,,,4928.0,0.894,0.822,,152.601
TOI-942 c,TOI-942,1,1,2,0,0,2020.0,0,10.156272,0.08598,4.67,0.41663021,794.575,,,,,4928.0,0.894,0.822,,152.601
TOI-954 b,TOI-954,1,1,1,0,0,2020.0,0,3.6849729,0.04963,9.550068,0.852,55.30242,0.174,Mass,1393.0,1526.0,5710.0,1.892,1.201,3.962,238.768
TOI-969 b,TOI-969,1,1,2,0,0,2022.0,0,1.8237305,0.02636,2.765,0.2466772,9.1,0.0286318,Mass,188.0,941.0,4435.0,0.671,0.734,4.55,77.2554
TOI-969 c,TOI-969,1,1,2,0,0,2022.0,0,1700.0,2.52,,,3591.4609991,11.3,Msini,0.0208,96.4,4435.0,0.671,0.734,4.55,77.2554
TRAPPIST-1 b,TRAPPIST-1,1,1,7,0,0,2016.0,0,1.510826,0.01154,1.116,0.09956302,1.374,0.00432309,Mass,4.153,,2566.0,0.1192,0.0898,5.2396,
TRAPPIST-1 c,TRAPPIST-1,1,1,7,0,0,2016.0,0,2.421937,0.0158,1.097,0.09786795,1.308,0.00411543,Mass,2.214,,2566.0,0.1192,0.0898,5.2396,
