pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
BEBOP-3 b,BEBOP-3,1,2,1,0,1,2025,0,547.0,1.444,,,177.34825111,0.558,Msini,,,6033.0,1.414,1.083,4.203,119.052
BEBOP-4 AB b,BEBOP-4 A,1,2,1,0,1,2025,0,1823.5,3.634,,,8358.8871041,26.3,Mass,,,,,1.507,,234.294
Barnard b,Barnard's star,1,1,4,0,0,2024,0,3.1542,0.0229,,,0.299,0.00094076,Msini,,438.0,3195.0,0.185,0.162,4.9,1.82655
Barnard c,Barnard's star,1,1,4,0,0,2025,0,4.1244,0.0274,,,0.335,0.00105403,Msini,,400.0,3195.0,0.185,0.162,4.9,1.82655
Barnard d,Barnard's star,1,1,4,0,0,2025,0,2.3402,0.0188,,,0.263,0.00082749,Msini,,483.0,3195.0,0.185,0.162,4.9,1.82655
Barnard e,Barnard's star,1,1,4,0,0,2025,0,6.7392,0.0381,,,0.193,0.00060725,Msini,,340.0,3195.0,0.185,0.162,4.9,1.82655
CD Cet b,CD Cet,1,1,1,0,0,2020,0,2.2907,0.0185,,,3.95,0.01242809,Msini,8.6,464.0,3130.0,0.175,0.161,4.93,8.60715
CD-35 2722 b,CD-35 2722,1,1,1,0,0,2011,0,1963700.0,67.0,17.37392009,1.55,9375.9380065,29.5,Mass,,1668.0,3689.0,,0.4,4.24,22.3896
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,0,0,2011,0,10037.5,2.6,,,3337.1,10.5,Mass,,370.0,580.5,,0.021,4.725,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,0,0,2020,0,8040000.0,200.0,20.8487041,1.86,2479.0615746,7.8,Mass,,1800.0,2320.0,0.245,0.0147,3.845,
CHXR 73 b,CHXR 73,1,1,1,0,0,2006,0,,210.0,,,3994.486,12.569,Mass,,,,,0.35,,190.374
CI Tau c,CI Tau,1,1,1,0,0,2024,0,25.2,0.17,,,1144.1822652,3.6,Msini,,,,,0.9,,157.998
COCONUTS-2 b,COCONUTS-2 A,1,1,1,0,0,2021,0,,6471.0,12.57647635,1.122,2383.7130525,7.5,Mass,,493.0,3552.0,0.366,0.4,4.91,10.8864
