pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
K2-229 c,K2-229,1,1,2,0,0,2018,0,8.32727000000,0.0769000000,2.03000000,0.18110447,,,,,750.00,5315.00,0.790000,0.870000,4.590000,102.56400000
K2-230 b,K2-230,1,1,1,0,0,2018,0,2.86041000000,0.0409000000,1.96000000,0.17485949,,,,,1529.00,5945.00,1.390000,1.110000,4.200000,540.77300000
K2-231 b,K2-231,1,1,1,0,0,2018,0,13.84190100000,,2.50000000,0.22303506,,,,,,5695.00,0.950000,1.010000,4.480000,321.21500000
K2-232 b,K2-232,1,1,1,0,0,2018,0,11.16845400000,0.1035600000,11.20900000,1.00000000,126.49634000,0.39800000,Mass,,1030.00,6154.00,1.161000,1.188000,4.379000,130.72000000
K2-233 b,K2-233,1,1,3,0,0,2018,0,2.46758300000,0.0329300000,1.31500000,0.11731664,2.40000000,0.00755124,Mass,269.0000,1127.00,4796.00,0.710000,0.790000,4.530000,67.50620000
K2-233 c,K2-233,1,1,3,0,0,2018,0,7.06024000000,0.0664000000,1.27200000,0.11348043,4.60000000,0.01447322,Mass,66.2000,794.00,4796.00,0.710000,0.790000,4.530000,67.50620000
K2-233 d,K2-233,1,1,3,0,0,2018,0,24.36810000000,0.1516000000,2.36300000,0.21081310,10.30000000,0.03240742,Mass,12.7000,525.00,4796.00,0.710000,0.790000,4.530000,67.50620000
K2-237 b,K2-237,1,1,1,0,0,2018,0,2.18053332000,0.0355200000,16.06246934,1.43300000,434.15360396,1.36600000,Mass,,1759.00,6180.00,1.236000,1.256000,4.353000,314.99500000
K2-238 b,K2-238,1,1,1,0,0,2018,0,3.20466000000,0.0460000000,14.57170000,1.30000000,273.33380000,0.86000000,Mass,,1587.00,5630.00,1.590000,1.190000,4.110000,537.96300000
K2-239 b,K2-239,1,1,3,0,0,2018,0,5.24000000000,0.0441000000,1.10000000,0.09813543,,,,,502.00,3420.00,0.360000,0.400000,4.900000,31.08490000
K2-239 c,K2-239,1,1,3,0,0,2018,0,7.77500000000,0.0576000000,1.00000000,0.08921402,,,,,427.00,3420.00,0.360000,0.400000,4.900000,31.08490000
K2-239 d,K2-239,1,1,3,0,0,2018,0,10.11500000000,0.0685000000,1.10000000,0.09813543,,,,,399.00,3420.00,0.360000,0.400000,4.900000,31.08490000
K2-24 b,K2-24,1,1,2,0,0,2016,0,20.88977000000,,5.40000000,0.48175573,19.00000000,0.05978039,Mass,,,5625.00,1.160000,1.070000,4.290000,170.56200000
K2-24 c,K2-24,1,1,2,0,0,2016,0,42.33910000000,,7.50000000,0.66910518,15.40000000,0.04845358,Mass,,,5625.00,1.160000,1.070000,4.290000,170.56200000
K2-240 b,K2-240,1,1,2,0,0,2018,0,6.03400000000,0.0513000000,2.00000000,0.17842805,,,,,586.00,3810.00,0.540000,0.580000,4.700000,72.91050000
K2-240 c,K2-240,1,1,2,0,0,2018,0,20.52300000000,0.1159000000,1.80000000,0.16058524,,,,,389.00,3810.00,0.540000,0.580000,4.700000,72.91050000
K2-241 b,K2-241,1,1,1,0,0,2018,0,26.81990000000,0.1567000000,2.55000000,0.22749576,,,,,507.00,5262.00,0.750000,0.710000,4.540000,149.46400000
K2-242 b,K2-242,1,1,1,0,0,2018,0,6.51389000000,0.0494000000,2.54000000,0.22660362,,,,,416.00,3459.00,0.370000,0.380000,4.890000,109.23700000
K2-243 b,K2-243,1,1,2,0,0,2018,0,11.54182000000,0.1087000000,2.17000000,0.19359443,,,,,1035.00,6570.00,1.390000,1.290000,4.260000,266.86400000
K2-243 c,K2-243,1,1,2,0,0,2018,0,24.94598000000,0.1817000000,2.01000000,0.17932019,,,,,801.00,6570.00,1.390000,1.290000,4.260000,266.86400000
K2-244 b,K2-244,1,1,1,0,0,2018,0,21.06884000000,0.1418000000,1.75000000,0.15612454,,,,,638.00,5677.00,0.920000,0.860000,4.440000,212.90200000
K2-245 b,K2-245,1,1,1,0,0,2018,0,11.89307000000,0.0959000000,4.34000000,0.38718887,,,,,923.00,5793.00,1.250000,0.830000,4.160000,456.06400000
K2-246 b,K2-246,1,1,1,0,0,2018,0,5.76918000000,0.0602000000,3.49000000,0.31135695,,,,,977.00,5610.00,0.940000,0.870000,4.430000,703.61600000
K2-247 b,K2-247,1,1,2,0,0,2018,0,2.25021000000,0.0304000000,2.12000000,0.18913373,,,,,979.00,4667.00,0.690000,0.740000,4.630000,258.11300000
K2-247 c,K2-247,1,1,2,0,0,2018,0,6.49424000000,0.0615000000,2.19000000,0.19537871,,,,,688.00,4667.00,0.690000,0.740000,4.630000,258.11300000
K2-248 b,K2-248,1,1,1,0,0,2018,0,7.17256000000,0.0699000000,2.57000000,0.22928004,,,,,886.00,5528.00,0.920000,0.880000,4.450000,406.25400000
K2-249 b,K2-249,1,1,1,0,0,2018,0,12.40900000000,0.1151000000,2.79000000,0.24890713,,,,,1061.00,6504.00,1.570000,1.320000,4.160000,521.71600000
K2-25 b,K2-25,1,1,1,0,0,2015,0,3.48456408000,0.0287000000,3.44000000,0.30600000,24.50000000,0.07708562,Mass,9.9100,494.00,3207.00,0.293200,0.263400,4.944000,44.95650000
K2-250 b,K2-250,1,1,1,0,0,2018,0,4.01392000000,0.0460600000,2.71257333,0.24200000,,,,,1003.00,5003.00,0.797000,0.809000,4.544000,414.70800000
K2-251 b,K2-251,1,1,1,0,0,2018,0,9.30075000000,0.0694000000,2.35000000,0.20965296,,,,,437.00,3717.00,0.490000,0.520000,4.760000,147.03000000
K2-252 b,K2-252,1,1,1,0,0,2018,0,13.81513000000,0.1041000000,1.74000000,0.15523240,,,,,639.00,5152.00,0.820000,0.790000,4.500000,228.83900000
K2-253 b,K2-253,1,1,1,0,0,2018,0,4.00167000000,0.0506000000,12.67000000,1.13034169,,,,,1238.00,6027.00,1.100000,1.080000,4.390000,876.56500000
K2-254 b,K2-254,1,1,2,0,0,2018,0,4.09639000000,0.0448000000,1.63000000,0.14541886,,,,,791.00,4629.00,0.670000,0.710000,4.640000,227.77500000
K2-254 c,K2-254,1,1,2,0,0,2018,0,12.11839000000,0.0923000000,2.19000000,0.19537871,,,,,551.00,4629.00,0.670000,0.710000,4.640000,227.77500000
K2-255 b,K2-255,1,1,1,0,0,2018,0,1.96417000000,0.0274000000,2.90000000,0.25872067,,,,,1034.00,4676.00,0.690000,0.710000,4.620000,191.60800000
K2-257 b,K2-257,1,1,1,0,0,2018,0,1.60588000000,0.0216000000,0.83000000,0.07404764,,,,,789.00,3725.00,0.500000,0.520000,4.760000,64.00650000
K2-258 b,K2-258,1,1,1,0,0,2018,0,19.09210000000,0.1490000000,3.00000000,0.26764207,,,,,831.00,6351.00,1.310000,1.210000,4.290000,661.87300000
K2-259 b,K2-259,1,1,1,0,0,2018,0,15.48043000000,0.1271000000,2.32000000,0.20697654,,,,,795.00,6059.00,1.130000,1.140000,4.390000,416.45700000
K2-26 b,K2-26,1,1,1,0,0,2016,0,14.56650000000,0.0962000000,2.67000000,0.23820145,,,,5.8000,430.00,3785.00,0.520000,0.560000,,99.05040000
K2-260 b,K2-260,1,1,1,0,0,2018,0,2.62669762000,0.0439200000,18.41635529,1.64300000,546.66486004,1.72000000,Mass,,2090.00,6860.00,1.755000,1.637000,4.161000,663.83400000
K2-261 b,K2-261,1,1,1,0,0,2018,0,11.63346810000,0.1086000000,9.26982704,0.82700000,68.96876432,0.21700000,Mass,,1036.00,5490.00,1.663000,1.107000,4.040000,213.28300000
K2-263 b,K2-263,1,1,1,0,0,2018,0,50.81917200000,0.2573000000,2.51300000,0.22419523,15.40000000,0.04845382,Mass,,482.00,5368.00,0.850000,0.880000,4.510000,162.48100000
K2-264 b,K2-264,1,1,2,0,0,2018,0,5.84000200000,0.0502300000,2.23100000,0.19903649,,,,,496.00,3660.00,0.473000,0.496000,4.783000,185.60500000
K2-264 c,K2-264,1,1,2,0,0,2018,0,19.66030200000,0.1128300000,2.66800000,0.23802302,,,,,331.00,3660.00,0.473000,0.496000,4.783000,185.60500000
K2-265 b,K2-265,1,2,1,0,0,2018,0,2.36902000000,0.0335900000,1.70824866,0.15240000,7.34183620,0.02310000,Mass,,1366.00,5420.00,0.920000,0.901000,4.465000,138.67100000
